frame;[[1, 2], [1, 3], [2, 3]]
1;['0', 'PP', '0']
2;['0', 'PP', '0']
3;['0', 'PP', '0']
4;['0', 'PP', '0']
5;['0', 'PP', '0']
6;['0', 'PP', '0']
7;['0', 'PP', '0']
8;['0', 'PP', '0']
9;['0', 'PP', '0']
10;['0', 'PP', '0']
11;['0', 'PP', '0']
12;['0', 'PP', '0']
13;['0', 'PP', '0']
14;['0', 'PP', '0']
15;['0', 'PP', '0']
16;['0', 'PP', '0']
17;['0', 'PP', '0']
18;['0', 'PP', '0']
19;['0', 'PP', '0']
20;['0', 'PP', '0']
21;['0', 'PP', '0']
22;['0', 'PP', '0']
23;['0', 'PP', '0']
24;['0', 'PP', '0']
25;['0', 'PP', '0']
26;['0', 'PP', '0']
27;['0', 'PP', '0']
28;['0', 'PP', '0']
29;['0', 'PP', '0']
30;['0', 'PP', '0']
31;['0', 'PP', '0']
32;['0', 'PP', '0']
33;['0', 'PP', '0']
34;['0', 'PP', '0']
35;['0', 'PP', '0']
36;['0', 'PP', '0']
37;['0', 'PP', '0']
38;['0', 'PP', '0']
39;['0', 'PP', '0']
40;['0', 'PP', '0']
41;['0', 'PP', '0']
42;['0', 'PP', '0']
43;['0', 'PP', '0']
44;['0', 'PP', '0']
45;['0', 'PP', '0']
46;['0', 'PP', '0']
47;['0', 'PP', '0']
48;['0', 'PP', '0']
49;['0', 'PP', '0']
50;['0', 'PP', '0']
51;['0', 'PP', '0']
52;['0', 'PP', '0']
53;['0', 'PP', '0']
54;['0', 'PP', '0']
55;['0', 'PP', '0']
56;['0', 'PP', '0']
57;['0', 'PP', '0']
58;['0', 'PP', '0']
59;['0', 'PP', '0']
60;['0', 'PP', '0']
61;['0', 'PP', '0']
62;['0', 'PP', '0']
63;['0', 'PP', '0']
64;['0', 'PP', '0']
65;['0', 'PP', '0']
66;['0', 'PP', '0']
67;['0', 'PP', '0']
68;['0', 'PP', '0']
69;['0', 'PP', '0']
70;['0', 'PP', '0']
71;['0', 'PP', '0']
72;['0', 'PP', '0']
73;['0', 'PP', '0']
74;['0', 'PP', '0']
75;['0', 'PP', '0']
76;['0', 'PP', '0']
77;['0', 'PP', '0']
78;['0', 'PP', '0']
79;['0', 'PP', '0']
80;['0', 'PP', '0']
81;['0', 'PO', '0']
82;['PP', 'PO', 'PP']
83;['PO', 'PO', 'PP']
84;['PO', 'PO', 'PP']
85;['PO', 'PO', 'PP']
86;['PO', 'PO', 'PP']
87;['DR', 'DR', 'PP']
88;['DR', 'DR', 'PP']
89;['DR', 'DR', 'PP']
90;['DR', 'DR', 'PP']
91;['DR', 'DR', 'PP']
92;['DR', 'DR', 'PP']
93;['DR', 'DR', 'PP']
94;['DR', 'DR', 'PP']
95;['DR', 'DR', 'PP']
96;['DR', 'DR', 'PP']
97;['DR', 'DR', 'PP']
98;['DR', 'DR', 'PP']
99;['DR', 'DR', 'PP']
100;['DR', 'DR', 'PP']
101;['DR', 'DR', 'PP']
102;['DR', 'DR', 'PP']
103;['DR', 'DR', 'PP']
104;['DR', 'DR', 'PP']
105;['DR', 'DR', 'PP']
106;['DR', 'DR', 'PP']
107;['DR', 'DR', 'PP']
108;['DR', 'DR', 'PP']
109;['DR', 'DR', 'PP']
110;['DR', 'DR', 'PP']
111;['DR', 'DR', 'PP']
112;['DR', 'DR', 'PP']
113;['DR', 'DR', 'PP']
114;['DR', 'DR', 'PP']
115;['DR', 'DR', 'PP']
116;['DR', 'DR', 'PP']
117;['DR', 'DR', 'PP']
118;['DR', 'DR', 'PP']
119;['DR', 'DR', 'PP']
120;['DR', 'DR', 'PP']
121;['DR', 'DR', 'PP']
122;['DR', 'DR', 'PP']
123;['DR', 'DR', 'PP']
124;['DR', 'DR', 'PP']
125;['DR', 'DR', 'PP']
126;['DR', 'DR', 'PP']
127;['DR', 'DR', 'PP']
128;['DR', 'DR', 'PP']
129;['DR', 'DR', 'PP']
130;['DR', 'DR', 'PP']
131;['DR', 'DR', 'PP']
132;['DR', 'DR', 'PP']
133;['DR', 'DR', 'PP']
